ACC=0.627225, f1_macro=0.617841, precision_macro=0.683061, recall_macro=0.653796, f1_micro=0.627225, precision_micro=0.627225, recall_micro=0.627225, NMI=0.311965, ADJ_RAND_SCORE=0.279610
ACC=0.627276, f1_macro=0.617902, precision_macro=0.683104, recall_macro=0.653838, f1_micro=0.627276, precision_micro=0.627276, recall_micro=0.627276, NMI=0.311984, ADJ_RAND_SCORE=0.279627
ACC=0.629863, f1_macro=0.620991, precision_macro=0.685119, recall_macro=0.655298, f1_micro=0.629863, precision_micro=0.629863, recall_micro=0.629863, NMI=0.310672, ADJ_RAND_SCORE=0.279008
ACC=0.629558, f1_macro=0.620647, precision_macro=0.684920, recall_macro=0.654967, f1_micro=0.629558, precision_micro=0.629558, recall_micro=0.629558, NMI=0.310331, ADJ_RAND_SCORE=0.278710
ACC=0.629863, f1_macro=0.621026, precision_macro=0.685135, recall_macro=0.655259, f1_micro=0.629863, precision_micro=0.629863, recall_micro=0.629863, NMI=0.310774, ADJ_RAND_SCORE=0.279044
ACC=0.629609, f1_macro=0.620690, precision_macro=0.684915, recall_macro=0.655048, f1_micro=0.629609, precision_micro=0.629609, recall_micro=0.629609, NMI=0.310424, ADJ_RAND_SCORE=0.278807
ACC=0.629609, f1_macro=0.620742, precision_macro=0.684979, recall_macro=0.654970, f1_micro=0.629609, precision_micro=0.629609, recall_micro=0.629609, NMI=0.310453, ADJ_RAND_SCORE=0.278765
ACC=0.629710, f1_macro=0.620864, precision_macro=0.685127, recall_macro=0.655094, f1_micro=0.629710, precision_micro=0.629710, recall_micro=0.629710, NMI=0.310541, ADJ_RAND_SCORE=0.278826
ACC=0.629558, f1_macro=0.620647, precision_macro=0.684920, recall_macro=0.654967, f1_micro=0.629558, precision_micro=0.629558, recall_micro=0.629558, NMI=0.310331, ADJ_RAND_SCORE=0.278710
ACC=0.629761, f1_macro=0.620922, precision_macro=0.685034, recall_macro=0.655097, f1_micro=0.629761, precision_micro=0.629761, recall_micro=0.629761, NMI=0.310613, ADJ_RAND_SCORE=0.278905
ACC=0.629660, f1_macro=0.620802, precision_macro=0.685027, recall_macro=0.654973, f1_micro=0.629660, precision_micro=0.629660, recall_micro=0.629660, NMI=0.310325, ADJ_RAND_SCORE=0.278674
ACC=0.629710, f1_macro=0.620863, precision_macro=0.685063, recall_macro=0.655055, f1_micro=0.629710, precision_micro=0.629710, recall_micro=0.629710, NMI=0.310493, ADJ_RAND_SCORE=0.278801
ACC=0.632906, f1_macro=0.624821, precision_macro=0.687899, recall_macro=0.656796, f1_micro=0.632906, precision_micro=0.632906, recall_micro=0.632906, NMI=0.309845, ADJ_RAND_SCORE=0.278883
ACC=0.632804, f1_macro=0.624690, precision_macro=0.687976, recall_macro=0.656751, f1_micro=0.632804, precision_micro=0.632804, recall_micro=0.632804, NMI=0.309838, ADJ_RAND_SCORE=0.278783
ACC=0.632906, f1_macro=0.624821, precision_macro=0.687899, recall_macro=0.656796, f1_micro=0.632906, precision_micro=0.632906, recall_micro=0.632906, NMI=0.309845, ADJ_RAND_SCORE=0.278883
ACC=0.632753, f1_macro=0.624612, precision_macro=0.687893, recall_macro=0.656708, f1_micro=0.632753, precision_micro=0.632753, recall_micro=0.632753, NMI=0.309743, ADJ_RAND_SCORE=0.278734
ACC=0.632753, f1_macro=0.624635, precision_macro=0.687877, recall_macro=0.656631, f1_micro=0.632753, precision_micro=0.632753, recall_micro=0.632753, NMI=0.309597, ADJ_RAND_SCORE=0.278678
ACC=0.632753, f1_macro=0.624612, precision_macro=0.687893, recall_macro=0.656708, f1_micro=0.632753, precision_micro=0.632753, recall_micro=0.632753, NMI=0.309743, ADJ_RAND_SCORE=0.278734
ACC=0.632753, f1_macro=0.624643, precision_macro=0.687850, recall_macro=0.656630, f1_micro=0.632753, precision_micro=0.632753, recall_micro=0.632753, NMI=0.309543, ADJ_RAND_SCORE=0.278632
ACC=0.632906, f1_macro=0.624821, precision_macro=0.687899, recall_macro=0.656796, f1_micro=0.632906, precision_micro=0.632906, recall_micro=0.632906, NMI=0.309845, ADJ_RAND_SCORE=0.278883
ACC=0.632753, f1_macro=0.624643, precision_macro=0.687850, recall_macro=0.656630, f1_micro=0.632753, precision_micro=0.632753, recall_micro=0.632753, NMI=0.309543, ADJ_RAND_SCORE=0.278632
ACC=0.632753, f1_macro=0.624612, precision_macro=0.687893, recall_macro=0.656708, f1_micro=0.632753, precision_micro=0.632753, recall_micro=0.632753, NMI=0.309743, ADJ_RAND_SCORE=0.278734
ACC=0.635543, f1_macro=0.627806, precision_macro=0.690580, recall_macro=0.658575, f1_micro=0.635543, precision_micro=0.635543, recall_micro=0.635543, NMI=0.309812, ADJ_RAND_SCORE=0.278907
